voters_number,p_005,p_001
361,0.10803324099722991,0.5512465373961218
362,0.10497237569060773,0.5469613259668509
363,0.10743801652892562,0.5482093663911846
364,0.0989010989010989,0.5384615384615384
365,0.0958904109589041,0.5342465753424658
366,0.10382513661202186,0.5409836065573771
367,0.10626702997275204,0.5422343324250681
368,0.09782608695652174,0.532608695652174
369,0.10569105691056911,0.5392953929539296
370,0.08108108108108109,0.5135135135135135
371,0.10512129380053908,0.5363881401617251
372,0.0967741935483871,0.5268817204301075
373,0.10455764075067024,0.5335120643431636
374,0.10160427807486631,0.5294117647058824
375,0.09333333333333334,0.4666666666666667
376,0.09574468085106383,0.5212765957446809
377,0.10344827586206896,0.5278514588859416
378,0.10052910052910052,0.5238095238095238
379,0.10290237467018469,0.525065963060686
380,0.05263157894736842,0.47368421052631576
381,0.10236220472440945,0.5223097112860893
382,0.09947643979057591,0.518324607329843
383,0.10182767624020887,0.5195822454308094
384,0.09375,0.5104166666666666
385,0.09090909090909091,0.5064935064935064
386,0.09844559585492228,0.5129533678756477
387,0.10077519379844961,0.5142118863049095
388,0.09278350515463918,0.5051546391752577
389,0.10025706940874037,0.5115681233933161
390,0.07692307692307693,0.48717948717948717
391,0.09974424552429667,0.5089514066496164
392,0.09183673469387756,0.5
393,0.09923664122137404,0.5063613231552163
394,0.09644670050761421,0.5025380710659898
395,0.08860759493670886,0.4936708860759494
396,0.09090909090909091,0.494949494949495
397,0.0982367758186398,0.5012594458438288
398,0.09547738693467336,0.49748743718592964
399,0.09774436090225563,0.49874686716791977
400,0.05,0.25
401,0.09725685785536159,0.49625935162094764
402,0.0945273631840796,0.4925373134328358
403,0.0967741935483871,0.49379652605459057
404,0.0891089108910891,0.48514851485148514
405,0.08641975308641975,0.48148148148148145
406,0.09359605911330049,0.4876847290640394
407,0.09582309582309582,0.48894348894348894
408,0.08823529411764706,0.4803921568627451
409,0.09535452322738386,0.48655256723716384
410,0.07317073170731707,0.4634146341463415
411,0.0948905109489051,0.48418491484184917
412,0.08737864077669903,0.47572815533980584
413,0.09443099273607748,0.48184019370460046
414,0.09178743961352658,0.4782608695652174
415,0.08433734939759036,0.46987951807228917
416,0.08653846153846154,0.47115384615384615
417,0.09352517985611511,0.47721822541966424
418,0.09090909090909091,0.47368421052631576
419,0.09307875894988067,0.47494033412887826
420,0.047619047619047616,0.42857142857142855
421,0.09263657957244656,0.47268408551068886
422,0.09004739336492891,0.46919431279620855
423,0.09219858156028368,0.47044917257683216
424,0.08490566037735849,0.46226415094339623
425,0.08235294117647059,0.4117647058823529
426,0.0892018779342723,0.4647887323943662
427,0.09133489461358314,0.46604215456674475
428,0.08411214953271028,0.45794392523364486
429,0.09090909090909091,0.46386946386946387
430,0.06976744186046512,0.4418604651162791
431,0.09048723897911833,0.4617169373549884
432,0.08333333333333333,0.4537037037037037
433,0.09006928406466513,0.45958429561200925
434,0.08755760368663594,0.45622119815668205
435,0.08045977011494253,0.4482758620689655
436,0.08256880733944955,0.44954128440366975
437,0.08924485125858124,0.45537757437070936
438,0.0867579908675799,0.4520547945205479
439,0.0888382687927107,0.4533029612756264
440,0.045454545454545456,0.4090909090909091
441,0.08843537414965986,0.4512471655328798
442,0.08597285067873303,0.4479638009049774
443,0.08803611738148984,0.4492099322799097
444,0.08108108108108109,0.44144144144144143
445,0.07865168539325842,0.43820224719101125
446,0.08520179372197309,0.4439461883408072
447,0.087248322147651,0.4451901565995526
448,0.08035714285714286,0.4375
449,0.08685968819599109,0.44320712694877507
450,0.06666666666666667,0.3333333333333333
451,0.08647450110864745,0.44124168514412415
